,authors,nom,prenom,rank_author,title,year,sex
1465,Abdelaziz Marzak,Marzak,Abdelaziz,3,Prise en compte des &quot;points de vue&quot; pour l&apos;annotation d&apos;un processus d&apos;extraction de connaissances à partir de données.,2005,Male
1484,Abdelghani Bellaachia,Bellaachia,Abdelghani,1,Extraction of text summary using latent semantic indexing and information retrieval technique - comparison of four strategies.,2004,Male
698,Abdelhadi Fennan,Fennan,Abdelhadi,5,XEWGraph - Outil de Visualisation et Analyse des Hypergraphes pour un Système d&apos;Intelligence Economique.,2015,Male
551,Abdelhamid Boudane,Boudane,Abdelhamid,1,Une approche logique pour la fouille de règles dassociation.,2017,Male
452,Abdeljalil Elouardighi,Elouardighi,Abdeljalil,1,Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d&apos;apprentissage automatique.,2018,Male
1145,Abdelkader Benameur,Benameur,Abdelkader,1,M3A - Une plateforme d&apos;ingénierie de maintenance assistée par apprentissage automatique.,2011,Male
636,Abdelmalek Amine,Amine,Abdelmalek,2,Machine Learning Based Classification of Android Apps through Text Features.,2017,Male
637,Abdelmalek Amine,Amine,Abdelmalek,1,Classification Automatique Non supervisée de Documents Textuels basés sur Wordnet.,2008,Male
1480,Abdenour Mokrane,Mokrane,Abdenour,2,Modélisation dynamique et temporelle de l&apos;utilisateur pour un filtrage personnalisé de documents textuels.,2004,Male
1458,Abderrahim El Qadi,El,Abderrahim,2,Amélioration de la performance de l&apos;analyse de la sémantique latente pour des corpus de petite taille.,2005,Male
1417,Abdourahamane Baldé,Baldé,Abdourahamane,1,Utilisation de métadonnées pour l&apos;aide à l&apos;interprétation de classes et de partitions.,2006,Male
944,Abdullah Almaksour,Almaksour,Abdullah,3,Étude des techniques d&apos;oubli dans les moindres carrés récursifs pour l&apos;apprentissage incrémental de systèmes d&apos;inférence floue évolutifs - application à la reconnaissance de formes.,2013,Male
1173,Abir Saïd,Saïd,Abir,4,Modélisation d&apos;une ressource termino-ontologique de domaine pour l&apos;annotation sémantique de tableaux.,2011,Male
1143,Adel Lablack,Lablack,Adel,2,Reconnaissance d&apos;actions par modélisation du mouvement.,2011,Male
1229,Adeline Nazarenko,Nazarenko,Adeline,2,Un système d&apos;aide à l&apos;extraction de relations sémantiques pour la construction d&apos;ontologies à partir de textes.,2010,Female
1230,Adeline Nazarenko,Nazarenko,Adeline,4,DaFOE - une plateforme pour construire des ontologies à partir de textes et de thésaurus.,2010,Female
281,Adrien Basse,Basse,Adrien,1,Représentation compacte du contenu de sources RDF.,2012,Male
280,Adrien Dufraux,Dufraux,Adrien,1,Face2Graph - Base de données graphe et visualisation pour lannotation darchives vidéos.,2017,Male
279,Adrien Guille,Guille,Adrien,2,Peerus Review - Un outil de recherche d&apos;experts scientifiques.,2018,Male
724,Agnès Braud,Braud,Agnes,1,Réduction du coût d&apos;évaluation d&apos;une règle relationnelle.,2004,Female
723,Agnès Braud,Braud,Agnes,3,Correspondances de Galois pour la manipulation de contextes flous multi-valués.,2009,Female
721,Agnès Braud,Braud,Agnes,3,Approche relationnelle de l&apos;apprentissage de séquences.,2015,Female
722,Agnès Braud,Braud,Agnes,1,"Propositionaliser des attributs numériques sans les discrétiser, ni les agréger.",2011,Female
1367,Ahlame Douzal,Douzal,Ahlame,2,Classification adaptative de séries temporelles - application à l&apos;identification des gènes exprimés au cours du cycle cellulaire.,2008,Male
755,Ahlem Othmani,Othmani,Ahlem,2,A Framework for Mesh Segmentation and Annotation using Ontologies.,2015,Male
1066,Ahmed Amrani,Amrani,Ahmed,1,Combinaison de l&apos;approche inductive (progressive) et linguistique pour l&apos;étiquetage morphosyntaxique des corpus de spécialité.,2006,Male
1067,Ahmed Amrani,Amrani,Ahmed,1,Logiciel d&apos;aide à l&apos;étiquetage morpho-syntaxique de textes de spécialité.,2005,Male
1068,Ahmed Amrani,Amrani,Ahmed,1,"ETIQ, un étiqueteur inductif convivial pour les corpus de spécialité.",2004,Male
1064,Ahmed El Ghini,El,Ahmed,2,Prédiction de séries temporelles et applications à l&apos;analyse de séquences vidéos.,2010,Male
1063,Ahmed Rebai,Rebai,Ahmed,2,BNTGUI - Construction et Apprentissage de Structure dans les Réseaux Bayésiens.,2012,Male
266,Aichetou Bouchareb,Bouchareb,Aichetou,1,Application du coclustering à lanalyse exploratoire dune table de données.,2017,Female
267,Aichetou Bouchareb,Bouchareb,Aichetou,1,Co-clustering de données mixtes à base des modèles de mélange.,2017,Female
265,Aichetou Bouchareb,Bouchareb,Aichetou,1,Un modèle Bayésien de co-clustering de données mixtes.,2018,Female
7,Alain Berger,Berger,Alain,2,To initiate a corporate memory with a knowledge compendium - ten years of learning from experience with the Ardans method.,2015,Male
12,Alain Berger,Berger,Alain,1,Accompagner au début du ème siècle les organisations dans la mise en place d&apos;une gestion des connaissances - retour d&apos;expérience.,2009,Male
16,Alain Berger,Berger,Alain,1,Faire vivre un référentiel métier dans l&apos;industrie - le système de gestion de connaissances ICARE.,2006,Male
17,Alain Bouju,Bouju,Alain,5,Un modèle extensible adapté à la gestion de dépêches d&apos;agences de presse.,2006,Male
21,Alain Bourmaud,Bourmaud,Alain,2,Connaissance des modes de fonctionnement d&apos;une presse à injecter à partir de données de production.,2001,Male
11,Alain Cagnati,Cagnati,Alain,4,Aide à l&apos;analyse visuelle de réseaux sociaux pour la detection de comportements suspects.,2011,Male
13,Alain Casali,Casali,Alain,2,Extraction de règles de corrélation décisionnelles.,2009,Male
20,Alain Casali,Casali,Alain,1,Extraction d&apos;espaces de versions émergents d&apos;une relation d&apos;attributs catégories.,2003,Male
15,Alain Dessertaine,Dessertaine,Alain,3,Échantillonnage spatio-temporel de flux de données distribués.,2008,Male
5,Alain Guénoche,Guénoche,Alain,3,Méta-analyse ordinale d&apos;enquêtes d&apos;opinion Application aux usages de l&apos;Internet des objets en entreprise.,2018,Male
6,Alain Gély,Gély,Alain,2,K-Spectral Centroïd pour des données massives.,2017,Male
19,Alain Livartowski,Livartowski,Alain,3,Qualité et datawarehouse dans le milieu hospitalier.,2004,Male
18,Alain Mille,Mille,Alain,3,MUSETTE - a framework for knowledge capture from experience.,2004,Male
14,Alain Ribière,Ribière,Alain,4,DesEsper - un logiciel de pré-traitement de flux appliqué à la surveillance des centrales hydrauliques.,2009,Male
8,Alain Simac-Lejeune,Simac-Lejeune,Alain,2,Détection et regroupement automatique de style d&apos;écriture dans un texte.,2015,Male
10,Alain Simac-Lejeune,Simac-Lejeune,Alain,2,Détection automatique de reformulations - Correspondance de concepts appliquée à la détection du plagiat.,2015,Male
9,Alain Simac-Lejeune,Simac-Lejeune,Alain,2,Méthode alternative à la détection de « copier/coller » - intersection de textes et construction de séquences maximales communes.,2015,Male
1575,Alain-Jérôme Fougères,Fougères,Alain-Jerome,1,Construction de la base de connaissances d&apos;un système tutoriel intelligent pour la formation de régulateurs de trafic.,2001,Male
1345,Albert Bifet,Bifet,Albert,2,Mining Implications from Lattices of Closed Trees.,2008,Male
912,Alexandra Degeest,Degeest,Alexandra,1,Automatic correction of SVM for drifted data classification.,2014,Female
255,Alexandre Aussem,Aussem,Alexandre,1,Application des réseaux bayésiens à l&apos;analyse des facteurs impliqués dans le cancer du Nasopharynx.,2007,Male
256,Alexandre Aussem,Aussem,Alexandre,3,Approche connexionniste pour l&apos;extraction de profils cas-témoins du cancer du Nasopharynx à partir des données issues d&apos;une étude épidémiologique.,2007,Male
258,Alexandre Aussem,Aussem,Alexandre,1,Apprentissage de la structure des réseaux bayésiens à partir des motifs fréquents corrélés - application à l&apos;identification des facteurs environnementaux du cancer du Nasopharynx.,2006,Male
254,Alexandre Aussem,Aussem,Alexandre,4,Intégration de contraintes dans les cartes auto-organisatrices.,2008,Male
260,Alexandre Blansché,Blansché,Alexandre,1,Sélection d&apos;attributs et classification d&apos;objets complexes.,2004,Male
251,Alexandre Blansché,Blansché,Alexandre,4,K-Spectral Centroïd pour des données massives.,2017,Male
249,Alexandre Blansché,Blansché,Alexandre,1,Propositions pour améliorer une méthode de prédiction du succès d&apos;une campagne de financement participatif.,2018,Male
253,Alexandre Blansché,Blansché,Alexandre,1,Processus itératif d&apos;extraction de classes en non supervisée.,2013,Male
250,Alexandre Blansché,Blansché,Alexandre,1,Prédiction du montant levé lors dune campagne de financement participatif par la méthode des plus proches voisins.,2017,Male
257,Alexandre Bouchacourt,Bouchacourt,Alexandre,1,Notion de conversation dans les communications interpersonnelles instantanées sur IP.,2007,Male
259,Alexandre Cotarmanac&apos;h,Cotarmanac&apos;h,Alexandre,3,Classification non supervisée et visualisation 3D de documents.,2005,Male
252,Alexandre Pauchet,Pauchet,Alexandre,2,Détection d&apos;opinions dans des tweets.,2014,Male
1369,Alexandrina Rogozan,Rogozan,Alexandrina,2,Apport des traitements morphosyntaxiques pour l&apos;alignement des définitions par une classification SVM.,2008,Female
1156,Alexis Bondu,Bondu,Alexis,1,Une nouvelle stratégie d&apos;apprentissage Bayésienne.,2010,Male
1160,Alexis Bondu,Bondu,Alexis,1,Apprentissage actif d&apos;émotions dans les dialogues Homme-Machine.,2007,Male
1157,Alexis Bondu,Bondu,Alexis,1,Density estimation on data stream - an application to change detection.,2010,Male
1154,Alexis Bondu,Bondu,Alexis,1,Détection de changements de distribution dans un flux de données - une approche supervisée.,2011,Male
1159,Alexis Bultey,Bultey,Alexis,1,CISNA - Un système hybride LD+Règles pour gérer des connaissances.,2009,Male
319,Ali Ben Mrad,Ben,Ali,3,Réseau bayésien pour la gestion de l&apos;obsolescence dans une base d&apos;informations en vue de l&apos;évaluation du risque de chute des personnes âgées.,2018,Male
321,Ali Jaoua,Jaoua,Ali,4,Textmining - extension de la connexion de Galois floue.,2002,Male
320,Ali Khenchaf,Khenchaf,Ali,3,Détection par SVM - Application à la détection de churn en téléphonie mobile prépayée.,2004,Male
322,Ali Khenchaf,Khenchaf,Ali,2,Découverte de règles ordinales.,2001,Male
1395,Aliou Boly,Boly,Aliou,1,Des fonctions d&apos;oubli intelligentes dans les entrepôts de données.,2007,Female
1397,Aliou Boly,Boly,Aliou,1,Fonctions d&apos;oubli dans les entrepôts de données.,2004,Female
1396,Aliou Boly,Boly,Aliou,1,Fonctions d&apos;oubli et Conservation de détail dans les entrepôts de données.,2005,Female
762,Allel HadjAli,HadjAli,Allel,2,Une approche fondée sur la corrélation entre prédicats pour le traitement des réponses pléthoriques.,2010,UKN
761,Allel HadjAli,HadjAli,Allel,3,Requêtes Skyline en présence des données évidentielles.,2015,UKN
982,Amedeo Napoli,Napoli,Amedeo,3,XML et les systèmes de représentation de connaissances par objets pour la gestion de données semi-structurées.,2001,Male
981,Amedeo Napoli,Napoli,Amedeo,3,Réduction d&apos;un jeu de règles d&apos;association par des méta-règles issues de la logique du &quot;sens commun&quot;.,2004,Male
980,Amedeo Napoli,Napoli,Amedeo,2,Utilisation de connaissances pour l&apos;aide à la recherche documentaire fondée sur le contenu.,2004,Male
979,Amedeo Napoli,Napoli,Amedeo,3,Hiérarchisation des règles d&apos;association en fouille de textes.,2005,Male
977,Amedeo Napoli,Napoli,Amedeo,3,Extraction de connaissances d&apos;adaptation par analyse de la base de cas.,2007,Male
976,Amedeo Napoli,Napoli,Amedeo,6,Vers une mesure de similarité pour les séquences complexes.,2013,Male
978,Amedeo Napoli,Napoli,Amedeo,3,Construction d&apos;ontologie à partir de corpus de textes.,2007,Male
648,Amel Aissaoui,Aissaoui,Amel,2,Ré-identification de personnes dans les journaux télévisés basée sur les Histogrammes spatio-temporels.,2012,Male
649,Amel Boustil,Boustil,Amel,1,Classification des compte-rendus mammographiques à partir d&apos;une ontologie radiologique en OWL.,2006,Male
647,Amel Bouzeghoub,Bouzeghoub,Amel,2,Échantillonnage de flux de données sémantiques - Une approche orientée graphe.,2015,Male
693,Amine Chaibi,Chaibi,Amine,1,Pondération de blocs de variables en bi-partitionnement topologique.,2014,Male
694,Amine Chaibi,Chaibi,Amine,1,Nouvelle approche de bi-partitionnement topologique.,2013,Male
695,Amine Chaibi,Chaibi,Amine,1,Détection de groupes outliers en classification non supervisée.,2012,Male
692,Amine El Haddadi,El,Amine,2,XEWGraph - Outil de Visualisation et Analyse des Hypergraphes pour un Système d&apos;Intelligence Economique.,2015,Male
511,Amira Oussalah,Oussalah,Amira,4,Une plateforme danalyse dopinions en temps réel sur Twitter avec recommandation.,2017,Female
1343,Amjad Abou Assali,Abou,Amjad,1,Ontologies et raisonnement à partir de cas - Application à l&apos;analyse des risques industriels.,2008,Male
1146,Amyn Bennamane,Bennamane,Amyn,1,Aide à l&apos;analyse visuelle de réseaux sociaux pour la detection de comportements suspects.,2011,Female
1315,Amélie Cordier,Cordier,Amelie,1,"Taaable - système de recherche et de création, par adaptation, de recettes de cuisine.",2009,Female
1485,Anand Mahajan,Mahajan,Anand,2,Extraction of text summary using latent semantic indexing and information retrieval technique - comparison of four strategies.,2004,Male
696,Anass El Haddadi,El,Anass,3,XEWGraph - Outil de Visualisation et Analyse des Hypergraphes pour un Système d&apos;Intelligence Economique.,2015,UKN
618,André Flory,Flory,Andre,2,Utilisation de la théorie des dépendances fonctionnelles pour la conception logique d&apos;un entrepôt de données.,2002,Male
614,André Happe,Happe,Andre,4,Extraction de chroniques discriminantes.,2017,Male
619,André Hardy,Hardy,Andre,1,Application du test des Hypervolumes à des données symboliques de type intervalle.,2002,Male
615,André Péninou,Péninou,Andre,2,Modélisation de trajectoires cible/caméra - requêtes spatio-temporelles dans le cadre de la videosurveillance.,2014,Male
616,André Péninou,Péninou,Andre,4,Cartographie de l&apos;organisation - une approche topologique des connaissances.,2007,Male
617,André Péninou,Péninou,Andre,3,Modélisation des individus et de leurs relations pour l&apos;aide à l&apos;intégration des individus dans l&apos;organisation.,2005,Male
1511,Anicet Kouomou Choupo,Kouomou,Anicet,1,Recherche dans de grandes bases d&apos;images fixes - une nouvelle approche guidée par les règles d&apos;association.,2004,Female
1265,Anna Kolomoyskaya,Kolomoyskaya,Anna,3,Gestion sémantique des droits d&apos;accès au contenu - l&apos;ontologie AMO.,2010,Female
782,Anne Bernard,Bernard,Anne,1,Méthodes multiblocs pour l&apos;identification de gènes associés au vieillissement cutané chez 502 femmes caucasiennes adultes.,2012,Female
781,Anne Boyer,Boyer,Anne,3,Identification des utilisateurs atypiques dans les systèmes de recommandation sociale.,2015,Female
791,Anne Laurent,Laurent,Anne,1,De l&apos;OLAP Mining au F-OLAP Mining - représentations de données imparfaites dans les bases de données multidimensionnelles pour la fouille de données.,2001,Female
790,Anne Laurent,Laurent,Anne,2,Résumé de cubes de données multidimensionnelles à l&apos;aide de règles floues.,2004,Female
783,Anne Laurent,Laurent,Anne,3,Motifs graduels clos.,2010,Female
786,Anne Laurent,Laurent,Anne,2,"Bien cube, les données textuelles peuvent s&apos;agréger !",2010,Female
787,Anne Laurent,Laurent,Anne,3,DBFrequentQueries - Extraction de requêtes fréquentes.,2009,Female
788,Anne Laurent,Laurent,Anne,2,Extraction efficace de règles graduelles.,2009,Female
789,Anne Puissant,Puissant,Anne,4,Navigation et appariement d&apos;objets géographiques dans une ontologie.,2007,Female
1531,Anne-Cécile Caron,Caron,Anne-Cecile,1,Modèles de données semi-structurées et contraintes d&apos;inclusion.,2003,Female
1410,Anne-Marie Vercoustre,Vercoustre,Anne-Marie,3,Extraction d&apos;entités dans des collections évolutives.,2007,Female
1500,Annick Castiaux,Castiaux,Annick,1,Extraction de connaissances grâce à un outil de text-mining - Application à la veille informationnelle dans le cadre policier.,2004,Female
1447,Annie Fiandrino,Fiandrino,Annie,4,Fouille de données spatiales. Approche basée sur la programmation logique inductive.,2006,Female
1448,Annie Morin,Morin,Annie,2,Classification non supervisée et visualisation 3D de documents.,2005,Female
1449,Annie Morin,Morin,Annie,2,Recherche dans de grandes bases d&apos;images fixes - une nouvelle approche guidée par les règles d&apos;association.,2004,Female
1347,Anouar BenaHassena,BenaHassena,Anouar,1,Intégration de contraintes dans les cartes auto-organisatrices.,2008,Male
1355,Anouck Bodin-Niemczuk,Bodin-Niemczuk,Anouck,1,Vers l&apos;intégration de la prédiction dans les cubes OLAP.,2008,Female
39,Anthony Barré,Barré,Anthony,3,L&apos;exploitation de données contextuelles pour la recommandation d&apos;hôtels.,2018,Male
40,Anthony Perez 0001,Perez,Anthony,3,Identification de rôles communautaires dans des réseaux orientés appliquée à Twitter.,2014,Male
41,Anthony Perez 0001,Perez,Anthony,2,Les capitalistes sociaux sur Twitter - détection via des mesures de similarité.,2013,Male
350,Antoine Cornuéjols,Cornuéjols,Antoine,1,Qu&apos;est-ce qu&apos;un bon système d&apos;apprentissage ? La réponse a évolué avec le temps. Et demain?,2018,Male
353,Antoine Cornuéjols,Cornuéjols,Antoine,2,Nouveaux résultats en classification à l&apos;aide d&apos;un codage par motifs fréquents.,2003,Male
354,Antoine Courteille,Courteille,Antoine,1,Ingénierie des connaissances et innovation - Application dans le domaine automobile.,2002,Male
351,Antoine Lambert,Lambert,Antoine,5,Tulip - a scalable graph visualization framework.,2010,Male
1346,Antoni Lozano,Lozano,Antoni,3,Mining Implications from Lattices of Closed Trees.,2008,Male
836,Antonio Balzanella,Balzanella,Antonio,1,Data Stream Summarization by On-Line Histograms Clustering.,2011,Male
835,Antonio Penta,Penta,Antonio,3,Réconciliation des profils dans les réseaux sociaux.,2014,Male
780,Armelle Brun,Brun,Armelle,2,Identification des utilisateurs atypiques dans les systèmes de recommandation sociale.,2015,Female
