title,authors,nom,prenom,rank_author,year,sex,first_author_sex
20 ans de découverte de motifs - une étude bibliographique quantitative.,"['Arnaud Giacometti', 'Arnaud Soulet', 'Dominique Haoyuan Li']","['Giacometti', 'Soulet', 'Haoyuan']","['Arnaud', 'Arnaud', 'Dominique']","[1, 3, 2]","['2013', '2013', '2013']","['Male', 'Male', 'Male']","['Male', nan, nan]"
3D - de nouvelles perspectives en fouille exploratoire avec la stéréoscopie.,"['Fabien Picarougne', 'Nicolas Greffard', 'Pascale Kuntz']","['Picarougne', 'Greffard', 'Kuntz']","['Fabien', 'Nicolas', 'Pascale']","[2, 1, 3]","['2013', '2013', '2013']","['Male', 'Male', 'Female']","[nan, 'Male', nan]"
A Best-First Strategy for Finding Frequent Sets.,"['Gemma Casas-Garriga', 'Jaume Baixeries', 'José L. Balcázar']","['Casas-Garriga', 'Baixeries', 'L.']","['Gemma', 'Jaume', 'Jose']","[2, 1, 3]","['2002', '2002', '2002']","['Female', 'Male', 'Male']","[nan, 'Male', nan]"
A Framework for Mesh Segmentation and Annotation using Ontologies.,"['Ahlem Othmani', 'Jean-Marie Favreau', 'Marco Attene', 'Thomas Dietenbeck']","['Othmani', 'Favreau', 'Attene', 'Dietenbeck']","['Ahlem', 'Jean-Marie', 'Marco', 'Thomas']","[2, 4, 3, 1]","['2015', '2015', '2015', '2015']","['Male', 'Male', 'Male', 'Male']","[nan, nan, nan, 'Male']"
A POS Tagger analysed in collaboration environments and literary texts.,"['Dumitru-Clementin Cercel', 'Stefan Trausan-Matu']","['Cercel', 'Trausan-Matu']","['Dumitru-Clementin', 'Stefan']","[1, 2]","['2013', '2013']","['Male', 'Male']","['Male', nan]"
A contextualization service for a Personalized Access Model.,"['Dimitre Kostadinov', 'Mokrane Bouzeghoub', 'Sofiane Abbar', 'Stéphane Lopes']","['Kostadinov', 'Bouzeghoub', 'Abbar', 'Lopes']","['Dimitre', 'Mokrane', 'Sofiane', 'Stephane']","[3, 2, 1, 4]","['2009', '2009', '2009', '2009']","['Male', 'UKN', 'Female', 'Male']","[nan, nan, 'Female', nan]"
A robust method for partitioning the values of categorical attributes.,['Marc Boullé'],['Boullé'],['Marc'],[1],['2004'],['Male'],['Male']
A two level co-clustering algorithm for very large data sets.,"['Fabrice Clérot', 'Marc Boullé', 'Marius Barctus']","['Clérot', 'Boullé', 'Barctus']","['Fabrice', 'Marc', 'Marius']","[3, 2, 1]","['2018', '2018', '2018']","['Male', 'Male', 'Male']","[nan, nan, 'Male']"
AID - Un framework intégré de conception d&apos;un schéma objet-relationnel.,"['Etienne Pichat', 'Hassan Badir']","['Pichat', 'Badir']","['Etienne', 'Hassan']","[2, 1]","['2005', '2005']","['Male', 'Male']","[nan, 'Male']"
ARABASE - base de données Web pour l&apos;exploitation en reconnaissance optique de l&apos;écriture arabe.,"['Nacéra Madani Aissaoui', 'Najoua Essoukri Ben Amara', 'Noura Bouzrara']","['Madani', 'Essoukri', 'Bouzrara']","['Nacera', 'Najoua', 'Noura']","[2, 3, 1]","['2006', '2006', '2006']","['Female', 'Female', 'Female']","[nan, nan, 'Female']"
ATHANOR - Un système pour la capitalisation et le déploiement de connaissances de diagnostic.,"['Dominique Follut', 'Fabrice Guillet', 'Jacques Philippe', 'Pascal Vandekerckhove']","['Follut', 'Guillet', 'Philippe', 'Vandekerckhove']","['Dominique', 'Fabrice', 'Jacques', 'Pascal']","[1, 2, 3, 4]","['2001', '2001', '2001', '2001']","['Male', 'Male', 'Male', 'Male']","['Male', nan, nan, nan]"
