,name,prediction,real data
0,Mary,Female,Female
1,Anna,Female,Female
2,Emma,Female,Female
3,Elizabeth,Female,Female
4,Minnie,Female,Female
5,Margaret,Female,Female
6,Ida,Female,Female
7,Alice,Female,Female
8,Bertha,Female,Female
9,Sarah,Female,Female
10,Annie,Female,Female
11,Clara,Female,Female
12,Ella,Female,Female
13,Florence,Female,Female
14,Cora,Female,Female
15,Martha,Female,Female
16,Laura,Female,Female
17,Nellie,Female,Female
18,Grace,Male,Female
19,Carrie,Female,Female
20,Maude,Female,Female
21,Mabel,Male,Female
22,Bessie,Female,Female
23,Jennie,Female,Female
24,Gertrude,Male,Female
25,Julia,Female,Female
26,Hattie,Female,Female
27,Edith,Female,Female
28,Mattie,Female,Female
29,Rose,Female,Female
30,Catherine,Female,Female
31,Lillian,Female,Female
32,Ada,Female,Female
33,Lillie,Female,Female
34,Helen,Male,Female
35,Jessie,Female,Female
36,Louise,Female,Female
37,Ethel,Male,Female
38,Lula,Female,Female
39,Myrtle,Female,Female
40,Eva,Female,Female
41,Frances,Male,Female
42,Lena,Female,Female
43,Lucy,Female,Female
44,Edna,Female,Female
45,Maggie,Female,Female
46,Pearl,Male,Female
47,Daisy,Female,Female
48,Fannie,Female,Female
49,Josephine,Female,Female
50,Dora,Female,Female
51,Rosa,Female,Female
52,Katherine,Female,Female
53,Agnes,Male,Female
54,Marie,Female,Female
55,Nora,Female,Female
56,May,Female,Female
57,Mamie,Female,Female
58,Blanche,Female,Female
59,Stella,Female,Female
60,Ellen,Male,Female
61,Nancy,Female,Female
62,Effie,Female,Female
63,Sallie,Female,Female
64,Nettie,Female,Female
65,Della,Female,Female
66,Lizzie,Female,Female
67,Flora,Female,Female
68,Susie,Female,Female
69,Maud,Male,Female
70,Mae,Female,Female
71,Etta,Female,Female
72,Harriet,Male,Female
73,Sadie,Female,Female
74,Caroline,Female,Female
75,Katie,Female,Female
76,Lydia,Female,Female
77,Elsie,Female,Female
78,Kate,Female,Female
79,Susan,Female,Female
80,Mollie,Female,Female
81,Alma,Female,Female
82,Addie,Female,Female
83,Georgia,Female,Female
84,Eliza,Female,Female
85,Lulu,Female,Female
86,Nannie,Female,Female
87,Lottie,Female,Female
88,Amanda,Female,Female
89,Belle,Female,Female
90,Charlotte,Female,Female
91,Rebecca,Female,Female
92,Ruth,Male,Female
93,Viola,Female,Female
94,Olive,Male,Female
95,Amelia,Female,Female
96,Hannah,Male,Female
97,Jane,Female,Female
98,Virginia,Female,Female
99,Emily,Female,Female
100,Matilda,Female,Female
101,Irene,Female,Female
102,Kathryn,Female,Female
103,Esther,Male,Female
104,Willie,Female,Female
105,Henrietta,Female,Female
106,Ollie,Female,Female
107,Amy,Female,Female
108,Rachel,Male,Female
109,Sara,Female,Female
110,Estella,Female,Female
111,Theresa,Female,Female
112,Augusta,Female,Female
113,Ora,Female,Female
114,Pauline,Female,Female
115,Josie,Female,Female
116,Lola,Female,Female
117,Sophia,Female,Female
118,Leona,Female,Female
119,Anne,Female,Female
120,Mildred,Male,Female
121,Ann,Female,Female
122,Beulah,Male,Female
123,Callie,Female,Female
124,Lou,Female,Female
125,Delia,Female,Female
126,Eleanor,Male,Female
127,Barbara,Female,Female
128,Iva,Female,Female
129,Louisa,Female,Female
130,Maria,Female,Female
131,Mayme,Female,Female
132,Evelyn,Female,Female
133,Estelle,Female,Female
134,Nina,Female,Female
135,Betty,Female,Female
136,Marion,Male,Female
137,Bettie,Female,Female
138,Dorothy,Female,Female
139,Luella,Female,Female
140,Inez,Male,Female
141,Lela,Female,Female
142,Rosie,Female,Female
143,Allie,Female,Female
144,Millie,Female,Female
145,Janie,Female,Female
146,Cornelia,Female,Female
147,Victoria,Female,Female
