,authors,nom,prenom,rank_author,title,year
0,Behçet Açikmese,Açikmese,Behçet,1,A Markov chain approach to probabilistic swarm guidance.,2012
1,David S. Bayard,S.,David,2,A Markov chain approach to probabilistic swarm guidance.,2012
2,Behçet Açikmese,Açikmese,Behçet,1,Probabilistic swarm guidance for collaborative autonomous agents.,2014
3,David S. Bayard,S.,David,2,Probabilistic swarm guidance for collaborative autonomous agents.,2014
4,Hoda Eldardiry,Eldardiry,Hoda,1,An analysis of how ensembles of collective classifiers improve predictions in graphs.,2012
5,Jennifer Neville,Neville,Jennifer,2,An analysis of how ensembles of collective classifiers improve predictions in graphs.,2012
6,Guoliang Li 0001,Li,Guoliang,1,Extending dictionary-based entity extraction to tolerate errors.,2010
7,Dong Deng,Deng,Dong,2,Extending dictionary-based entity extraction to tolerate errors.,2010
8,Jianhua Feng,Feng,Jianhua,3,Extending dictionary-based entity extraction to tolerate errors.,2010
9,Kenneth A. Kinney,A.,Kenneth,1,How evaluator domain expertise affects search result relevance judgments.,2008
10,Scott B. Huffman,B.,Scott,2,How evaluator domain expertise affects search result relevance judgments.,2008
11,Juting Zhai,Zhai,Juting,3,How evaluator domain expertise affects search result relevance judgments.,2008
12,Rakesh Pimplikar,Pimplikar,Rakesh,1,Learning to Propagate Rare Labels.,2014
13,Dinesh Garg,Garg,Dinesh,2,Learning to Propagate Rare Labels.,2014
14,Deepesh Bharani,Bharani,Deepesh,3,Learning to Propagate Rare Labels.,2014
15,Gyana R. Parija,R.,Gyana,4,Learning to Propagate Rare Labels.,2014
16,Gabriele Tolomei,Tolomei,Gabriele,1,Twitter anticipates bursts of requests for Wikipedia articles.,2013
17,Salvatore Orlando 0001,Orlando,Salvatore,2,Twitter anticipates bursts of requests for Wikipedia articles.,2013
18,Diego Ceccarelli,Ceccarelli,Diego,3,Twitter anticipates bursts of requests for Wikipedia articles.,2013
19,Claudio Lucchese,Lucchese,Claudio,4,Twitter anticipates bursts of requests for Wikipedia articles.,2013
20,Fabio Petroni,Petroni,Fabio,1,HDRF: Stream-Based Partitioning for Power-Law Graphs.,2015
21,Leonardo Querzoni,Querzoni,Leonardo,2,HDRF: Stream-Based Partitioning for Power-Law Graphs.,2015
