,authors,nom,prenom,rank_author,title,year
0,Xavier Aimé,Aimé,Xavier,1,Gradient de prototypicalité lexicale : définition et cas d'application sur la terminologie des ontologies.,2012
1,Frédéric Fürst,Fürst,Frédéric,2,Gradient de prototypicalité lexicale : définition et cas d'application sur la terminologie des ontologies.,2012
2,Pascale Kuntz,Kuntz,Pascale,3,Gradient de prototypicalité lexicale : définition et cas d'application sur la terminologie des ontologies.,2012
3,Francky Trichet,Trichet,Francky,4,Gradient de prototypicalité lexicale : définition et cas d'application sur la terminologie des ontologies.,2012
4,Jean Charlet,Charlet,Jean,5,Gradient de prototypicalité lexicale : définition et cas d'application sur la terminologie des ontologies.,2012
5,Béatrice Fuchs,Fuchs,Béatrice,1,Focaliser l'extraction d'épisodes séquentiels à partir de traces par le contexte.,2018
6,Gaëlle Lortal,Lortal,Gaëlle,1,Soutenir la coopération par l'indexation semi-automatique d'annotations.,2006
7,Amalia Todirascu,Todirascu,Amalia,2,Soutenir la coopération par l'indexation semi-automatique d'annotations.,2006
8,Myriam Lewkowicz,Lewkowicz,Myriam,3,Soutenir la coopération par l'indexation semi-automatique d'annotations.,2006
9,Amélie Cordier,Cordier,Amélie,1,Modéliser les traces d'interaction pour raisonner à partir de l'expérience tracée.,2013
10,Marie Lefèvre,Lefèvre,Marie,2,Modéliser les traces d'interaction pour raisonner à partir de l'expérience tracée.,2013
11,Pierre-Antoine Champin,Champin,Pierre-Antoine,3,Modéliser les traces d'interaction pour raisonner à partir de l'expérience tracée.,2013
12,Alain Mille,Mille,Alain,4,Modéliser les traces d'interaction pour raisonner à partir de l'expérience tracée.,2013
13,Bertrand Richard,Richard,Bertrand,1,Lecture active de documents audiovisuels : organisation de connaissances personnelles par la structuration d'annotations.,2007
14,Yannick Prié,Prié,Yannick,2,Lecture active de documents audiovisuels : organisation de connaissances personnelles par la structuration d'annotations.,2007
15,Sylvie Calabretto,Calabretto,Sylvie,3,Lecture active de documents audiovisuels : organisation de connaissances personnelles par la structuration d'annotations.,2007
16,Diyé Dia,Dia,Diyé,1,Suis-je celui que je prétends être ?,2014
17,Olivier Coupelon,Coupelon,Olivier,2,Suis-je celui que je prétends être ?,2014
18,Yannick Loiseau,Loiseau,Yannick,3,Suis-je celui que je prétends être ?,2014
19,Olivier Raynaud,Raynaud,Olivier,4,Suis-je celui que je prétends être ?,2014
20,Emmanuelle Gaillard,Gaillard,Emmanuelle,1,Raisonner sur des connaissances provenant d'une e-communauté.,2013
21,Jean Lieber,Lieber,Jean,2,Raisonner sur des connaissances provenant d'une e-communauté.,2013
22,Yannick Naudet,Naudet,Yannick,3,Raisonner sur des connaissances provenant d'une e-communauté.,2013
23,Emmanuel Nauer,Nauer,Emmanuel,4,Raisonner sur des connaissances provenant d'une e-communauté.,2013
24,Pavel Arapov,Arapov,Pavel,1,"Programmer le web de données avec un ""wiki-based IDE"".",2014
25,Michel Buffa,Buffa,Michel,2,"Programmer le web de données avec un ""wiki-based IDE"".",2014
26,Amel Ben Othmane,Ben,Amel,3,"Programmer le web de données avec un ""wiki-based IDE"".",2014
27,Fabienne Kettani,Kettani,Fabienne,1,"Projet VisaTM : l'interconnexion OpenMinTeD - AgroPortal - ISTEX, un exemple de service de Text et Data Mining pour les scientifiques français.",2018
28,Stéphane Schneider,Schneider,Stéphane,2,"Projet VisaTM : l'interconnexion OpenMinTeD - AgroPortal - ISTEX, un exemple de service de Text et Data Mining pour les scientifiques français.",2018
29,Sophie Aubin,Aubin,Sophie,3,"Projet VisaTM : l'interconnexion OpenMinTeD - AgroPortal - ISTEX, un exemple de service de Text et Data Mining pour les scientifiques français.",2018
30,Robert Bossy,Bossy,Robert,4,"Projet VisaTM : l'interconnexion OpenMinTeD - AgroPortal - ISTEX, un exemple de service de Text et Data Mining pour les scientifiques français.",2018
31,Claire François,François,Claire,5,"Projet VisaTM : l'interconnexion OpenMinTeD - AgroPortal - ISTEX, un exemple de service de Text et Data Mining pour les scientifiques français.",2018
32,Clement Jonquet,Jonquet,Clement,6,"Projet VisaTM : l'interconnexion OpenMinTeD - AgroPortal - ISTEX, un exemple de service de Text et Data Mining pour les scientifiques français.",2018
33,Andon Tchechmedjiev,Tchechmedjiev,Andon,7,"Projet VisaTM : l'interconnexion OpenMinTeD - AgroPortal - ISTEX, un exemple de service de Text et Data Mining pour les scientifiques français.",2018
34,Anne Toulet,Toulet,Anne,8,"Projet VisaTM : l'interconnexion OpenMinTeD - AgroPortal - ISTEX, un exemple de service de Text et Data Mining pour les scientifiques français.",2018
35,Claire Nédellec,Nédellec,Claire,9,"Projet VisaTM : l'interconnexion OpenMinTeD - AgroPortal - ISTEX, un exemple de service de Text et Data Mining pour les scientifiques français.",2018
36,Béatrice Fuchs,Fuchs,Béatrice,1,Assister l'utilisateur à expliciter un modèle de trace avec l'analyse de concepts formels.,2017
37,Jacques Bouaud,Bouaud,Jacques,1,Pourquoi les médecins ne suivent-ils pas les systèmes de recommandations de bonnes pratiques ? une hypothèse liée à l'utilisabilité évaluée avec le mode guidé d'ASTI.,2010
38,Dominique Sauquet,Sauquet,Dominique,2,Pourquoi les médecins ne suivent-ils pas les systèmes de recommandations de bonnes pratiques ? une hypothèse liée à l'utilisabilité évaluée avec le mode guidé d'ASTI.,2010
39,Philippe Giral,Giral,Philippe,3,Pourquoi les médecins ne suivent-ils pas les systèmes de recommandations de bonnes pratiques ? une hypothèse liée à l'utilisabilité évaluée avec le mode guidé d'ASTI.,2010
40,Jacques Julien,Julien,Jacques,4,Pourquoi les médecins ne suivent-ils pas les systèmes de recommandations de bonnes pratiques ? une hypothèse liée à l'utilisabilité évaluée avec le mode guidé d'ASTI.,2010
41,Philippe Cornet,Cornet,Philippe,5,Pourquoi les médecins ne suivent-ils pas les systèmes de recommandations de bonnes pratiques ? une hypothèse liée à l'utilisabilité évaluée avec le mode guidé d'ASTI.,2010
42,Hector Falcoff,Falcoff,Hector,6,Pourquoi les médecins ne suivent-ils pas les systèmes de recommandations de bonnes pratiques ? une hypothèse liée à l'utilisabilité évaluée avec le mode guidé d'ASTI.,2010
43,Brigitte Séroussi,Séroussi,Brigitte,7,Pourquoi les médecins ne suivent-ils pas les systèmes de recommandations de bonnes pratiques ? une hypothèse liée à l'utilisabilité évaluée avec le mode guidé d'ASTI.,2010
44,Nicolas Greffard,Greffard,Nicolas,1,Vers une Ingénierie des Connaissances Personnelles - Étude de cas pour l'organisation des collections musicales.,2016
45,Pascale Kuntz,Kuntz,Pascale,2,Vers une Ingénierie des Connaissances Personnelles - Étude de cas pour l'organisation des collections musicales.,2016
46,Éric Languénou,Languénou,Éric,3,Vers une Ingénierie des Connaissances Personnelles - Étude de cas pour l'organisation des collections musicales.,2016
47,Bogdan Moisuc,Moisuc,Bogdan,1,Apports de la modélisation algébrique pour la représentation de connaissances par objets : illustration en AROM.,2006
48,Philippe Genoud,Genoud,Philippe,2,Apports de la modélisation algébrique pour la représentation de connaissances par objets : illustration en AROM.,2006
